,Product,SKU,MPN,RRP,CurrentPrice,URL
0,Cariad Heart White Topaz Ring,13229320,3SCCLR4,£99.00,£59.40,https://www.clogauoutlet.co.uk/cariad-heart-white-topaz-ring/13229320.html
1,Heart Bracelet,13229332,3SCLBR04,£99.00,£59.40,https://www.clogauoutlet.co.uk/heart-bracelet/13229332.html
2,Heart Stud Earrings,13229333,3SCLE04,£79.00,£47.40,https://www.clogauoutlet.co.uk/heart-stud-earrings/13229333.html
3,Heart Pendant,13229334,3SCLP04,£109.00,£65.40,https://www.clogauoutlet.co.uk/heart-pendant/13229334.html
4,Affinity Heart Bracelet,13229335,3SAFBR5,£99.00,£59.40,https://www.clogauoutlet.co.uk/affinity-heart-bracelet/13229335.html
5,Celtic Heart Earrings,13229336,3SAFE1,£89.00,£53.40,https://www.clogauoutlet.co.uk/silver-and-rose-gold-celtic-heart-earrings/13229336.html
6,January Birthstone Affinity Bead Bracelet,13229337,3SAFF0031,£119.00,£71.40,https://www.clogauoutlet.co.uk/january-birthstone-affinity-bead-bracelet/13229337.html
7,February Birthstone Affinity Bead Bracelet,13229338,3SAFF0032,£119.00,£71.40,https://www.clogauoutlet.co.uk/february-birthstone-affinity-bead-bracelet/13229338.html
8,March Birthstone Affinity Bead Bracelet,13229339,3SAFF0033,£119.00,£71.40,https://www.clogauoutlet.co.uk/march-birthstone-affinity-bead-bracelet/13229339.html
9,April Birthstone Affinity Bead Bracelet,13229340,3SAFF0034,£119.00,£71.40,https://www.clogauoutlet.co.uk/april-birthstone-affinity-bead-bracelet/13229340.html
10,May Birthstone Affinity Bead Bracelet,13229341,3SAFF0035,£119.00,£71.40,https://www.clogauoutlet.co.uk/may-birthstone-affinity-bead-bracelet/13229341.html
11,June Birthstone Affinity Bead Bracelet,13229342,3SAFF0036,£119.00,£71.40,https://www.clogauoutlet.co.uk/june-birthstone-affinity-bead-bracelet/13229342.html
12,July Birthstone Affinity Bead Bracelet,13229343,3SAFF0037,£119.00,£71.40,https://www.clogauoutlet.co.uk/july-birthstone-affinity-bead-bracelet/13229343.html
13,August Birthstone Affinity Bead Bracelet,13229344,3SAFF0038,£119.00,£71.40,https://www.clogauoutlet.co.uk/august-birthstone-affinity-bead-bracelet/13229344.html
14,September Birthstone Affinity Bead Bracelet,13229345,3SAFF0039,£119.00,£71.40,https://www.clogauoutlet.co.uk/september-birthstone-affinity-bead-bracelet/13229345.html
15,October Birthstone Affinity Bead Bracelet,13229346,3SAFF0040,£119.00,£71.40,https://www.clogauoutlet.co.uk/october-birthstone-affinity-bead-bracelet/13229346.html
16,November Birthstone Affinity Bead Bracelet,13229347,3SAFF0041,£119.00,£71.40,https://www.clogauoutlet.co.uk/november-birthstone-affinity-bead-bracelet/13229347.html
17,December Birthstone Affinity Bead Bracelet,13229348,3SAFF0042,£119.00,£71.40,https://www.clogauoutlet.co.uk/december-birthstone-affinity-bead-bracelet/13229348.html
18,Silver and Rose Gold Celtic Heart Pendant,13229349,3SAFP2,£119.00,£71.40,https://www.clogauoutlet.co.uk/silver-and-rose-gold-celtic-heart-pendant/13229349.html
19,Affinity Heart Barrel Pendant,13229350,3SAFP5,£119.00,£71.40,https://www.clogauoutlet.co.uk/affinity-heart-barrel-pendant/13229350.html
20,Affinity Heart Band Ring,13229351,3SAFR5,£79.00,£47.40,https://www.clogauoutlet.co.uk/affinity-heart-band-ring/13229351.html
21,Affinity Heart Ring,13229357,3SAFR6,£69.00,£41.40,https://www.clogauoutlet.co.uk/affinity-heart-ring/13229357.html
22,Magical Alice Club Pendant,13229363,3SALWCP,£139.00,£83.40,https://www.clogauoutlet.co.uk/magical-alice-club-pendant/13229363.html
23,Magical Alice Garnet Earrings,13229364,3SALWDE,£99.00,£59.40,https://www.clogauoutlet.co.uk/magical-alice-garnet-earrings/13229364.html
24,Magical Alice Heart Pendant,13229365,3SALWHP,£139.00,£83.40,https://www.clogauoutlet.co.uk/magical-alice-heart-pendant/13229365.html
25,Magical Alice Agate Earrings,13229366,3SALWSPE,£99.00,£59.40,https://www.clogauoutlet.co.uk/magical-alice-agate-earrings/13229366.html
26,Daffodil Affinity Bead Bracelet 16.5-17.5cm,13229367,3SBBR10S,£109.00,£65.40,https://www.clogauoutlet.co.uk/daffodil-affinity-bead-bracelet-16-5-17-5cm/13229367.html
27,Moon and Star Affinity Bead Bracelet 16.5-17.5cm,13229368,3SBBR17S,£99.00,£59.40,https://www.clogauoutlet.co.uk/moon-and-star-affinity-bead-bracelet-16-5-17-5cm/13229368.html
28,Garnet January Birthstone Earrings,13229369,3SBES01,£89.00,£53.40,https://www.clogauoutlet.co.uk/garnet-january-birthstone-earrings/13229369.html
